volcano_number	name	country	volcanic_region	volcano_type	tectonic_setting	evidence_category	elevation_m	last_eruption_year	longitude	latitude
300511	Shisheika	Russia	Central Kamchatka Volcanic Arc	Lava dome	Subduction zone / Continental crust (> 25 km)	Eruption Dated	355	-2240	161.09	57.153
300512	Terpuk	Russia	Central Kamchatka Volcanic Arc	Shield	Subduction zone / Continental crust (> 25 km)	Eruption Dated	765	-800	159.83	57.2
300520	Sedanka Lava Field	Russia	Central Kamchatka Volcanic Arc	Volcanic field	Subduction zone / Continental crust (> 25 km)	Eruption Dated	1399	-7050	160.067	57.317
300550	Gorny Institute	Russia	Central Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Dated	2125	1250	160.2	57.33
300551	Kinenin	Russia	Central Kamchatka Volcanic Arc	Maar	Subduction zone / Continental crust (> 25 km)	Eruption Dated	583	850	160.97	57.35
300552	Bliznetsy	Russia	Central Kamchatka Volcanic Arc	Lava cone	Subduction zone / Continental crust (> 25 km)	Eruption Dated	265	-1060	161.37	57.35
300560	Titila	Russia	Central Kamchatka Volcanic Arc	Shield(s)	Subduction zone / Continental crust (> 25 km)	Eruption Dated	1523	-550	160.108	57.406
300590	Elovsky	Russia	Central Kamchatka Volcanic Arc	Shield(s)	Subduction zone / Continental crust (> 25 km)	Eruption Dated	1381	-7550	160.53	57.55
300650	Nylgimelkin	Russia	Central Kamchatka Volcanic Arc	Shield(s)	Subduction zone / Continental crust (> 25 km)	Eruption Dated	1764	-3550	160.65	57.97
300671	Spokoiny	Russia	Central Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Dated	2171	-3450	160.82	58.13
300680	Ostry	Russia	Central Kamchatka Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Dated	2552	-2050	160.82	58.18
300700	Severny	Russia	Central Kamchatka Volcanic Arc	Shield	Subduction zone / Continental crust (> 25 km)	Eruption Dated	1936	-1550	160.87	58.28
302030	Udokan Plateau	Russia	Baikal Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Eruption Dated	2180	-220	117.77	56.28
302060	Jombolok	Russia	Baikal Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Eruption Dated	2047	737	99.021	52.713
303010	Taryatu-Chulutu	Mongolia	Baikal Rift Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	2326	-2980	99.95	48.133
303015	Khoid Naiman Nuur	Mongolia	Baikal Rift Volcanic Province	Pyroclastic cone	Intraplate / Continental crust (> 25 km)	Evidence Uncertain	2532		101.7982	46.6459
304030	Ashikule Volcanic Field	China	Northern Tibetan Plateau Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Observed	5090	1951	81.646	35.742
305010	Honggeertu	China	Central East Asia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Uncertain	1605		113.111	41.59
305011	Arxan-Chaihe	China	Central East Asia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	1677	0	120.8	47.45
305020	Keluo Group	China	Central East Asia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	670		125.92	49.37
305030	Wudalianchi	China	Central East Asia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Observed	597	1776	126.15	48.722
305040	Jingpohu	China	Central East Asia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	1000	-520	128.83	44.08
305050	Longgang Group	China	Central East Asia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	1000	350	126.5	42.33
305060	Changbaishan	China-North Korea	Central East Asia Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Observed	2744	1903	128.08	41.98
306030	Ulleungdo	South Korea	Central East Asia Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Dated	984	-2990	130.87	37.5
306040	Halla	South Korea	Central East Asia Volcanic Province	Shield	Intraplate / Continental crust (> 25 km)	Eruption Observed	1919	1007	126.53	33.361
311010	Buldir	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Evidence Uncertain	656		175.911	52.35
311020	Kiska	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	1220	1990	177.602	52.103
311030	Segula	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Evidence Credible	1160		178.136	52.015
311040	Davidof	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Evidence Uncertain	328		178.33	51.97
311050	Little Sitkin	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	1174	1830	178.543	51.95
311060	Semisopochnoi	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	1221	2023	179.58	51.93
311070	Gareloi	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	1573	1989	-178.794	51.79
311080	Tanaga	United States	Aleutian Ridge Volcanic Arc	Stratovolcano(es)	Subduction zone / Intermediate crust (15-25 km)	Eruption Observed	1806	1914	-178.146	51.885
311090	Takawangha	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Eruption Dated	1449	1550	-178.006	51.873
311100	Bobrof	United States	Aleutian Ridge Volcanic Arc	Stratovolcano	Subduction zone / Intermediate crust (15-25 km)	Evidence Uncertain	738		-177.438	51.91
